ID,PROVINSI,TIMEZONE
11,ACEH,Asia/Jakarta
12,SUMATERA UTARA,Asia/Jakarta
13,SUMATERA BARAT,Asia/Jakarta
14,RIAU,Asia/Jakarta
15,JAMBI,Asia/Jakarta
16,SUMATERA SELATAN,Asia/Jakarta
17,BENGKULU,Asia/Jakarta
18,LAMPUNG,Asia/Jakarta
19,KEPULAUAN BANGKA BELITUNG,Asia/Jakarta
21,KEPULAUAN RIAU,Asia/Jakarta
31,DKI JAKARTA,Asia/Jakarta
32,JAWA BARAT,Asia/Jakarta
33,JAWA TENGAH,Asia/Jakarta
34,DI YOGYAKARTA,Asia/Jakarta
35,JAWA TIMUR,Asia/Jakarta
36,BANTEN,Asia/Jakarta
51,BALI,Asia/Makassar
52,NUSA TENGGARA BARAT,Asia/Makassar
53,NUSA TENGGARA TIMUR,Asia/Makassar
61,KALIMANTAN BARAT,Asia/Jakarta
62,KALIMANTAN TENGAH,Asia/Jakarta
63,KALIMANTAN SELATAN,Asia/Jakarta
64,KALIMANTAN TIMUR,Asia/Jakarta
65,KALIMANTAN UTARA,Asia/Jakarta
71,SULAWESI UTARA,Asia/Makassar
72,SULAWESI TENGAH,Asia/Makassar
73,SULAWESI SELATAN,Asia/Makassar
74,SULAWESI TENGGARA,Asia/Makassar
75,GORONTALO,Asia/Makassar
76,SULAWESI BARAT,Asia/Makassar
81,MALUKU,Asia/Jayapura
82,MALUKU UTARA,Asia/Jayapura
91,PAPUA BARAT,Asia/Jayapura
94,PAPUA,Asia/Jayapura
